종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
넷마블,"51,900",상승500,+0.97%,"45,171","2,373","42,537"
한화생명,"4,880",하락90,-1.81%,"1,489,413","7,278","42,384"
한화엔진,"50,600","상승1,850",+3.79%,"489,214","25,463","42,224"
한온시스템,"3,930",하락125,-3.08%,"1,763,800","7,006","40,332"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
강원랜드,"18,160",상승20,+0.11%,"72,117","1,307","38,852"
SKC,"100,700","하락1,400",-1.37%,"22,329","2,255","38,133"
LG생활건강,"243,500","하락3,000",-1.22%,"5,652","1,378","37,261"
영원무역,"81,300",하락500,-0.61%,"5,235",427,"36,025"
OCI홀딩스,"190,900","상승8,100",+4.43%,"92,665","17,906","35,641"
롯데케미칼,"79,800",보합0,0.00%,"26,863","2,143","34,135"
현대엘리베이터,"87,300",하락700,-0.80%,"14,876","1,303","34,128"
SK바이오사이언스,"43,350",상승550,+1.29%,"13,013",565,"34,001"
금호석유화학,"129,200",하락800,-0.62%,"5,503",714,"33,633"
한국가스공사,"35,950",하락50,-0.14%,"25,911",933,"33,187"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
에스원,"87,300",상승400,+0.46%,"5,930",519,"33,173"
CJ제일제당,"218,000","하락1,000",-0.46%,"4,065",883,"32,818"
한솔케미칼,"287,500","상승5,000",+1.77%,"9,819","2,820","32,689"
한올바이오파마,"62,200","상승4,300",+7.43%,"325,060","19,838","32,494"
롯데쇼핑,"114,700","상승3,400",+3.05%,"19,398","2,201","32,447"
신세계,"336,000","하락1,000",-0.30%,"2,744",913,"32,408"
롯데지주,"30,550",하락550,-1.77%,"44,346","1,359","32,050"
영원무역홀딩스,"221,000",상승500,+0.23%,"1,929",424,"29,833"
이수스페셜티케미컬,"93,500","상승2,500",+2.75%,"122,371","11,534","28,255"
현대해상,"31,200",하락950,-2.95%,"77,077","2,428","27,893"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
에스엘,"59,500","하락1,500",-2.46%,"13,374",798,"27,637"
한전KPS,"61,400","하락1,400",-2.23%,"41,634","2,569","27,630"
HD현대마린엔진,"80,700","상승3,200",+4.13%,"297,683","24,476","27,375"
iM금융지주,"17,060",상승80,+0.47%,"31,742",540,"27,403"
동서,"27,000",하락200,-0.74%,"10,895",293,"26,919"
이마트,"97,500","하락1,000",-1.02%,"32,746","3,194","26,906"
풍산,"96,000","하락2,200",-2.24%,"44,869","4,339","26,903"
팬오션,"5,030",하락50,-0.98%,"353,642","1,784","26,889"
씨에스윈드,"62,000","하락1,300",-2.05%,"166,164","10,566","26,146"
한미사이언스,"38,200",상승500,+1.33%,"16,979",646,"26,126"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
DL이앤씨,"66,300","하락3,000",-4.33%,"558,902","37,714","25,654"
한국앤컴퍼니,"26,750",하락850,-3.08%,"15,247",411,"25,395"
세아베스틸지주,"70,800","하락1,700",-2.34%,"75,472","5,354","25,390"
CJ대한통운,"110,500","하락1,600",-1.43%,"4,066",451,"25,208"
HL만도,"51,800",하락600,-1.15%,"33,865","1,760","24,324"
F&F,"61,600","하락1,200",-1.91%,"9,536",590,"23,597"
제일기획,"20,075",상승25,+0.12%,"37,967",762,"23,095"
DN오토모티브,"39,100",하락100,-0.26%,"22,305",873,"22,878"
농심,"373,500","하락5,000",-1.32%,"2,217",829,"22,719"
GS건설,"26,350","하락1,050",-3.83%,"542,498","14,435","22,551"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
현대위아,"81,900",하락700,-0.85%,"12,325","1,011","22,273"
한국카본,"42,850","상승1,000",+2.39%,"556,284","24,415","22,243"
코오롱인더,"80,700","상승1,900",+2.41%,"76,529","6,134","22,208"
코스맥스,"193,600","하락2,700",-1.38%,"6,748","1,318","21,973"
미스토홀딩스,"40,300","하락1,900",-4.50%,"28,473","1,150","21,396"
아모레퍼시픽홀딩스,"27,900",하락450,-1.59%,"18,102",508,"21,332"
BGF리테일,"122,400",하락500,-0.41%,"4,469",548,"21,156"
현대백화점,"85,400","하락1,400",-1.61%,"6,210",532,"19,325"
대웅제약,"163,200","상승3,800",+2.38%,"6,918","1,121","18,909"
한국콜마,"78,000","하락1,600",-2.01%,"29,634","2,327","18,412"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
SK아이이테크놀로지,"21,700",하락400,-1.81%,"24,641",538,"17,748"
동원산업,"40,100",상승100,+0.25%,"6,182",247,"17,703"
녹십자,"150,600","상승1,600",+1.07%,"5,439",816,"17,600"
금호타이어,"6,080",하락140,-2.25%,"65,638",401,"17,465"
GS리테일,"20,700",상승100,+0.49%,"12,759",264,"17,307"
효성티앤씨,"395,500","상승10,500",+2.73%,"8,276","3,272","17,116"
호텔신라,"42,100",하락600,-1.41%,"36,452","1,536","16,523"
파라다이스,"17,340",상승370,+2.18%,"123,075","2,119","16,062"
오리온홀딩스,"24,950",상승100,+0.40%,"13,629",338,"15,630"
오뚜기,"365,000","하락5,500",-1.48%,932,340,"14,629"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
대웅,"25,100",상승800,+3.29%,"24,686",613,"14,594"
롯데정밀화학,"51,600","상승1,000",+1.98%,"12,109",622,"13,313"
태광산업,"1,189,000","하락22,000",-1.82%,410,489,"13,238"
종근당,"92,100","상승2,300",+2.56%,"10,463",957,"12,712"
DL,"60,000","상승1,800",+3.09%,"47,100","2,834","12,574"
한일시멘트,"16,860",하락150,-0.88%,"11,760",198,"12,400"
하이트진로,"16,550",하락110,-0.66%,"40,746",674,"11,607"
영풍,"62,100",하락700,-1.11%,"7,252",446,"11,226"
롯데칠성,"118,700","하락1,200",-1.00%,"1,990",236,"11,014"
롯데웰푸드,"114,000",하락800,-0.70%,"2,158",246,"10,607"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
더블유게임즈,"50,000",하락200,-0.40%,"3,182",159,"10,587"
지역난방공사,"91,400",상승200,+0.22%,"8,681",791,"10,583"
한샘,"43,250",하락350,-0.80%,"2,804",121,"10,178"
HS효성첨단소재,"222,500","하락2,000",-0.89%,"1,574",352,"9,968"
에스디바이오센서,"8,040",상승110,+1.39%,"21,873",175,"9,789"
SK케미칼,"56,000",하락200,-0.36%,"5,166",291,"9,687"
대한유화,"134,400","하락1,300",-0.96%,"4,587",619,"8,736"
세방전지,"60,500",하락900,-1.47%,"3,404",207,"8,385"
후성,"7,380",상승40,+0.54%,"72,838",536,"7,915"
세아제강지주,"186,100",하락700,-0.37%,"8,813","1,673","7,708"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
동원시스템즈,"26,100",하락550,-2.06%,"10,226",268,"7,567"
TKG휴켐스,"18,490",하락170,-0.91%,"7,855",145,"7,558"
GKL,"11,980",하락20,-0.17%,"34,012",406,"7,410"
대상,"20,950",하락100,-0.48%,"22,499",471,"7,259"
녹십자홀딩스,"14,260",상승130,+0.92%,"17,113",244,"6,706"
미원상사,"136,700",상승100,+0.07%,713,97,"6,493"
미원에스씨,"125,600","하락2,900",-2.26%,"1,596",200,"6,280"
율촌화학,"23,750",상승50,+0.21%,"15,327",362,"5,890"
코스모화학,"15,240",상승50,+0.33%,"42,707",653,"5,853"
아세아,"273,500","하락5,000",-1.80%,289,79,"5,669"
""
""
